parameter_key,formal_value,unit,status,source_grade,source_id,source_title,journal_or_institution,year,doi,url,page_or_section,original_value,original_unit,transformation,transformation_formula,cross_validation_source,uncertainty_note,paper_use,cost_boundary,source_conflict_status
utilization_storage.utilization_revenue_per_ton,1101.85965,CNY/t fresh CO2,MODEL_ASSUMPTION,A,S07;S_SINOPEC2020;S_NBS2020;USER_FIXED_RATIO,Wei2015 China onshore EOR oil benchmark; Sinopec2020 domestic conversion; NBS2020 FX,International Journal of Greenhouse Gas Control; Sinopec; National Bureau of Statistics,2015;2020,10.1016/j.ijggc.2015.01.014,https://www.sec.gov/Archives/edgar/data/1123658/000134100421000143/form6k.htm,Wei Table4; Sinopec CONVERSION section printed page3; NBS2020 statistical communique,90;7.1;6.8974;4,USD/bbl;bbl/t-oil;CNY/USD;tCO2/t-oil,"Representative literature USD oil price converted with domestic crude factor and2020FX, then user4:1 ratio",90*7.1*6.8974/4=1101.85965,Sinopec2020 SEC issuer filing downloaded locally,"Literature-anchored constant-price assumption, not current oil price or observed Qilu revenue. Wei2015 dollar benchmark retained without inflation escalation and translated at2020 average FX; domestic barrel/tonne factor is representative, not reservoir-specific. Sinopec2020 realized1902CNY/t includes a pandemic-year fall and is reference-only. Gross revenue before EOR OPEX and CO2 transfer payments.",FORMAL_GROSS_EOR_REVENUE_PER_FRESH_CO2,REFERENCE_ONLY,DIFFERENT_PRICE_YEARS_AND_ASSUMPTION_VS_OBSERVED_NOT_SAME_ESTIMAND
carbon_source.capex_decline_rate,0.0,fraction/year,MODEL_ASSUMPTION,,USER_ORIGINAL_PROTOCOL;SOURCE_BACKED_PROTOCOL_SECTION19,User frozen model design and unchanged scenario ranges,,,,,Original baseline JSON; source-backed protocol19,0.0,fraction/year,Retain explicit user design without empirical reinterpretation,identity,,"Unchanged user-specified design value, not measured project data. Zero fixed/idle terms are reduced-form accounting assumptions, not evidence of zero physical maintenance.",FORMAL_MODEL_DESIGN,REFERENCE_ONLY,NO_CONFLICT
carbon_source.fixed_opex,0.0,million CNY/year,MODEL_ASSUMPTION,,USER_ORIGINAL_PROTOCOL;SOURCE_BACKED_PROTOCOL_SECTION19,User frozen model design and unchanged scenario ranges,,,,,Original baseline JSON; source-backed protocol19,0.0,million CNY/year,Retain explicit user design without empirical reinterpretation,identity,,"Unchanged user-specified design value, not measured project data. Zero fixed/idle terms are reduced-form accounting assumptions, not evidence of zero physical maintenance.",FORMAL_MODEL_DESIGN,REFERENCE_ONLY,NO_CONFLICT
carbon_source.idle_cost,0.0,million CNY/year,MODEL_ASSUMPTION,,USER_ORIGINAL_PROTOCOL;SOURCE_BACKED_PROTOCOL_SECTION19,User frozen model design and unchanged scenario ranges,,,,,Original baseline JSON; source-backed protocol19,0.0,million CNY/year,Retain explicit user design without empirical reinterpretation,identity,,"Unchanged user-specified design value, not measured project data. Zero fixed/idle terms are reduced-form accounting assumptions, not evidence of zero physical maintenance.",FORMAL_MODEL_DESIGN,REFERENCE_ONLY,NO_CONFLICT
transport_market.fixed_opex_if_active,0.0,million CNY/year,MODEL_ASSUMPTION,,USER_ORIGINAL_PROTOCOL;SOURCE_BACKED_PROTOCOL_SECTION19,User frozen model design and unchanged scenario ranges,,,,,Original baseline JSON; source-backed protocol19,0.0,million CNY/year,Retain explicit user design without empirical reinterpretation,identity,,"Unchanged user-specified design value, not measured project data. Zero fixed/idle terms are reduced-form accounting assumptions, not evidence of zero physical maintenance.",FORMAL_MODEL_DESIGN,REFERENCE_ONLY,NO_CONFLICT
utilization_storage.capex_decline_rate,0.0,fraction/year,MODEL_ASSUMPTION,,USER_ORIGINAL_PROTOCOL;SOURCE_BACKED_PROTOCOL_SECTION19,User frozen model design and unchanged scenario ranges,,,,,Original baseline JSON; source-backed protocol19,0.0,fraction/year,Retain explicit user design without empirical reinterpretation,identity,,"Unchanged user-specified design value, not measured project data. Zero fixed/idle terms are reduced-form accounting assumptions, not evidence of zero physical maintenance.",FORMAL_MODEL_DESIGN,REFERENCE_ONLY,NO_CONFLICT
utilization_storage.fixed_opex,0.0,million CNY/year,MODEL_ASSUMPTION,,USER_ORIGINAL_PROTOCOL;SOURCE_BACKED_PROTOCOL_SECTION19,User frozen model design and unchanged scenario ranges,,,,,Original baseline JSON; source-backed protocol19,0.0,million CNY/year,Retain explicit user design without empirical reinterpretation,identity,,"Unchanged user-specified design value, not measured project data. Zero fixed/idle terms are reduced-form accounting assumptions, not evidence of zero physical maintenance.",FORMAL_MODEL_DESIGN,REFERENCE_ONLY,NO_CONFLICT
utilization_storage.idle_cost,0.0,million CNY/year,MODEL_ASSUMPTION,,USER_ORIGINAL_PROTOCOL;SOURCE_BACKED_PROTOCOL_SECTION19,User frozen model design and unchanged scenario ranges,,,,,Original baseline JSON; source-backed protocol19,0.0,million CNY/year,Retain explicit user design without empirical reinterpretation,identity,,"Unchanged user-specified design value, not measured project data. Zero fixed/idle terms are reduced-form accounting assumptions, not evidence of zero physical maintenance.",FORMAL_MODEL_DESIGN,REFERENCE_ONLY,NO_CONFLICT
utilization_storage.storage_subsidy_per_ton,0.0,CNY/tCO2,MODEL_ASSUMPTION,,USER_ORIGINAL_PROTOCOL;SOURCE_BACKED_PROTOCOL_SECTION19,User frozen model design and unchanged scenario ranges,,,,,Original baseline JSON; source-backed protocol19,0.0,CNY/tCO2,Retain explicit user design without empirical reinterpretation,identity,,"Unchanged user-specified design value, not measured project data. Zero fixed/idle terms are reduced-form accounting assumptions, not evidence of zero physical maintenance.",FORMAL_MODEL_DESIGN,REFERENCE_ONLY,NO_CONFLICT
simulation.dt_years,1.0,year,MODEL_ASSUMPTION,,USER_ORIGINAL_PROTOCOL;SOURCE_BACKED_PROTOCOL_SECTION19,User frozen model design and unchanged scenario ranges,,,,,Original baseline JSON; source-backed protocol19,1.0,year,Retain explicit user design without empirical reinterpretation,identity,,"Unchanged user-specified design value, not measured project data. Zero fixed/idle terms are reduced-form accounting assumptions, not evidence of zero physical maintenance.",FORMAL_MODEL_DESIGN,REFERENCE_ONLY,NO_CONFLICT
scenario_domain.effective_abatement_fraction,"[0.5, 1.0]",fraction,DESIGN_RANGE_ASSUMPTION,,USER_ORIGINAL_PROTOCOL;SOURCE_BACKED_PROTOCOL_SECTION19,User frozen model design and unchanged scenario ranges,,,,,Original baseline JSON; source-backed protocol19,"[0.5, 1.0]",fraction,Retain explicit user design without empirical reinterpretation,identity,,"Unchanged user-specified design value, not measured project data. Zero fixed/idle terms are reduced-form accounting assumptions, not evidence of zero physical maintenance.",FORMAL_MODEL_DESIGN,REFERENCE_ONLY,NO_CONFLICT
scenario_domain.storage_subsidy,"[0.0, 120.0]",CNY/tCO2,DESIGN_RANGE_ASSUMPTION,,USER_ORIGINAL_PROTOCOL;SOURCE_BACKED_PROTOCOL_SECTION19,User frozen model design and unchanged scenario ranges,,,,,Original baseline JSON; source-backed protocol19,"[0.0, 120.0]",CNY/tCO2,Retain explicit user design without empirical reinterpretation,identity,,"Unchanged user-specified design value, not measured project data. Zero fixed/idle terms are reduced-form accounting assumptions, not evidence of zero physical maintenance.",FORMAL_MODEL_DESIGN,REFERENCE_ONLY,NO_CONFLICT
scenario_domain.capex_C_multiplier,"[0.7, 1.3]",multiplier,DESIGN_RANGE_ASSUMPTION,,USER_ORIGINAL_PROTOCOL;SOURCE_BACKED_PROTOCOL_SECTION19,User frozen model design and unchanged scenario ranges,,,,,Original baseline JSON; source-backed protocol19,"[0.7, 1.3]",multiplier,Retain explicit user design without empirical reinterpretation,identity,,"Unchanged user-specified design value, not measured project data. Zero fixed/idle terms are reduced-form accounting assumptions, not evidence of zero physical maintenance.",FORMAL_MODEL_DESIGN,REFERENCE_ONLY,NO_CONFLICT
scenario_domain.carbon_scale,"[0.5, 6.25]",multiplier,DESIGN_RANGE_ASSUMPTION,,USER_ORIGINAL_PROTOCOL;SOURCE_BACKED_PROTOCOL_SECTION19,User frozen model design and unchanged scenario ranges,,,,,Original baseline JSON; source-backed protocol19,"[0.5, 6.25]",multiplier,Retain explicit user design without empirical reinterpretation,identity,,"Unchanged user-specified design value, not measured project data. Zero fixed/idle terms are reduced-form accounting assumptions, not evidence of zero physical maintenance.",FORMAL_MODEL_DESIGN,REFERENCE_ONLY,NO_CONFLICT
carbon_price.P0,95.63,CNY/tCO2,CALIBRATED_FROM_OFFICIAL_SERIES,A,S_CNEEEX_COMCEA,National carbon market official daily composite closing prices,Shanghai Environment and Energy Exchange,2021–2026,,https://shyx.cneeex.com/gateway/common/queryMarketByDate,2021-07-16 through2026-09-18;1257observations,Official daily closes; CSV SHA256 a5e60f21e0c065a4c3ef361274c7dfbc8a8d1664ee133cad979286462494000e,CNY/tCO2,Calendar gaps/365.25; exact user protocol17 equations; no clipping/smoothing/imputation,last official close,Official holiday calendar;2025-10-13 official daily article for API missing record,"Physical historical GBM fit; no forecast accuracy claim. Calendar gaps retained. Article-source substitution is an observed official close, not an interpolated price.",FORMAL_GBM_CALIBRATION,REFERENCE_ONLY,NO_UNRESOLVED_DATES
carbon_price.mu,0.16886265073995846,1/year,CALIBRATED_FROM_OFFICIAL_SERIES,A,S_CNEEEX_COMCEA,National carbon market official daily composite closing prices,Shanghai Environment and Energy Exchange,2021–2026,,https://shyx.cneeex.com/gateway/common/queryMarketByDate,2021-07-16 through2026-09-18;1257observations,Official daily closes; CSV SHA256 a5e60f21e0c065a4c3ef361274c7dfbc8a8d1664ee133cad979286462494000e,CNY/tCO2,Calendar gaps/365.25; exact user protocol17 equations; no clipping/smoothing/imputation,sum(log_returns)/sum(dt)+sigma^2/2,Official holiday calendar;2025-10-13 official daily article for API missing record,"Physical historical GBM fit; no forecast accuracy claim. Calendar gaps retained. Article-source substitution is an observed official close, not an interpolated price.",FORMAL_GBM_CALIBRATION,REFERENCE_ONLY,NO_UNRESOLVED_DATES
carbon_price.sigma,0.3106155387941257,1/sqrt(year),CALIBRATED_FROM_OFFICIAL_SERIES,A,S_CNEEEX_COMCEA,National carbon market official daily composite closing prices,Shanghai Environment and Energy Exchange,2021–2026,,https://shyx.cneeex.com/gateway/common/queryMarketByDate,2021-07-16 through2026-09-18;1257observations,Official daily closes; CSV SHA256 a5e60f21e0c065a4c3ef361274c7dfbc8a8d1664ee133cad979286462494000e,CNY/tCO2,Calendar gaps/365.25; exact user protocol17 equations; no clipping/smoothing/imputation,sqrt(mean((r-m*dt)^2/dt)),Official holiday calendar;2025-10-13 official daily article for API missing record,"Physical historical GBM fit; no forecast accuracy claim. Calendar gaps retained. Article-source substitution is an observed official close, not an interpolated price.",FORMAL_GBM_CALIBRATION,REFERENCE_ONLY,NO_UNRESOLVED_DATES
